Year,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Construction - Oil/Petroleum,1.669235617,1.631699896,1.594164176,1.556628456,1.519092735,1.481557015,1.444021295,1.406485574,1.368949854,1.331414133,1.293878413,1.256342693,1.218806972,1.181271252,1.143735532,1.067486496,0.991237461,0.914988425,0.83873939,0.762490354,0.686241319,0.609992284,0.533743248,0.457494213,0.381245177,0.304996142,0.228747106,0.152498071,0.076249035,0
Construction - Bioenergy/Other,0.089760658,0.087105271,0.084449885,0.081794498,0.079139112,0.076483726,0.073828339,0.071172953,0.068517566,0.06586218,0.063206794,0.060551407,0.057896021,0.055240635,0.052585248,0.050106888,0.047628527,0.045150166,0.042671806,0.040193445,0.037715084,0.035236724,0.032758363,0.030280003,0.027801642,0.025323281,0.022844921,0.02036656,0.017888199,0.015409839
Construction - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Industries - Electricity,33.50218428,32.64983303,32.2313545,32.22811362,31.97816081,31.75818613,31.73509486,32.05229592,32.56030374,33.221038,34.04827244,35.25428463,36.96182289,38.93794903,40.99428692,43.07128542,45.01905385,46.67230739,48.06588547,49.26420058,50.48884783,51.54699491,52.45930242,53.2350879,53.9181032,54.53913669,55.06213358,55.50086761,55.76540438,55.91286439
Other Industries - Natural Gas,35.70536798,35.13340199,34.17826381,34.11081586,33.61419396,33.19459823,32.57133083,31.850286,30.80280441,29.55821105,28.08818242,26.3961755,24.43119127,22.1603063,19.59175416,17.00204119,14.59236832,12.44870237,10.64091371,9.099119926,7.799097385,6.72015059,5.762687539,4.920344297,4.249535824,3.612579332,3.084800176,2.589702625,2.197669846,1.968960295
Other Industries - Hydrogen,0,0,0,0,0,0,0.067258452,0.133257163,0.240864047,0.372230051,0.556669643,0.796362181,1.08896711,1.400173231,1.703014157,1.972952924,2.196904608,2.373609727,2.510264072,2.614368953,2.693316657,2.752634942,2.799527686,2.844616376,2.87557792,2.905811599,2.930758597,2.955911881,2.981131349,3.007711238
Other Industries - Oil/Petroleum,1.354713005,1.324249883,1.293786761,1.263323639,1.232860516,1.202397394,1.171934272,1.14147115,1.111008028,1.080544906,1.050081783,1.019618661,0.989155539,0.958692417,0.928229295,0.866347342,0.804465389,0.742583436,0.680701483,0.61881953,0.556937577,0.495055624,0.433173671,0.371291718,0.309409765,0.247527812,0.185645859,0.123763906,0.061881953,0
Other Industries - Bioenergy/Other,8.678239627,8.421511569,8.164783511,7.908055452,7.651327394,7.394599336,7.137871278,6.881143219,6.624415161,6.367687103,6.110959044,5.854230986,5.597502928,5.34077487,5.084046811,4.844433957,4.604821102,4.365208248,4.125595394,3.885982539,3.646369685,3.40675683,3.167143976,2.927531122,2.687918267,2.448305413,2.208692558,1.969079704,1.72946685,1.489853995
Other Industries - Gas CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Industries - BECCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
